Age,Household_Income,Credit_Score_Range,Vehicle_Year,Current_Mileage,Lead_Score,Purchased,Car_Make,Car_Model,Ownership_Type,Marital_Status,Education_Level,Homeowner_Status,Employment_Status,Gender,Preferred_Contact_Method,Lead_Source,Device_Type,Insurance_Status,Do_Not_Call,Email_Opt_In,Visited_Website_Last_30_Days,Clicked_Email_Last_30_Days,Opened_Email_Last_30_Days,Region,Zip_Code,Phone_Valid,Email_Valid,Vehicle_Use,Language_Preference,Military_Status,Has_Children,Outdoor_Activity_Level,Purchase_Intention,Number_of_Vehicles,Years_in_Current_Home,Past_Warranty_Purchase,Service_History,Recent_Move,Household_Size,Estimated_Home_Value,Estimated_Rent,Utilities_Included,Subscribed_To_Competitor,Warranty_Interest_Level,Credit_Card_Holder,Bank_Loan,Social_Media_Engagement,Online_Shopping_Frequency,Mobile_App_User,Streaming_Services_User,Data_Sharing_Consent
61,100-150K,700-749,2021,37394,87,0,Nissan,Jetta,Leased,Single,Associate Degree,Living with Family,Employed Part-Time,Female,Email,Event,Desktop,Yes,Yes,Yes,No,No,Yes,West,40907,No,No,Personal,Spanish,Active Duty,Yes,Medium,Medium,5,37,Yes,Regular,No,1,600K+,<500,Yes,No,Low,Yes,Yes,Medium,High,Yes,Yes,No
41,150K+,700-749,2022,171607,68,0,Volkswagen,3 Series,Financed,Married,High School,Renter,Retired,Female,Email,Referral,Desktop,Yes,No,No,Yes,No,No,Midwest,27430,Yes,No,Mixed,Spanish,None,Yes,Low,Medium,2,15,No,Regular,Yes,1,200-400K,2000+,No,Yes,Medium,Yes,No,High,High,Yes,No,No
34,50-75K,600-649,2021,126535,60,0,Honda,Corolla,Owned,Married,High School,Renter,Employed Part-Time,Other,Text,Event,Mobile,Yes,Yes,Yes,Yes,No,No,Midwest,63127,Yes,Yes,Business,English,Veteran,Yes,Medium,High,4,11,No,Regular,Yes,5,600K+,1000-1500,No,No,Low,Yes,Yes,Low,Low,Yes,Yes,No
71,50-75K,650-699,2018,35283,59,1,Mercedes,Civic,Owned,Widowed,Bachelor's Degree,Homeowner,Retired,Other,Mail,Event,Mobile,Yes,No,No,Yes,No,No,Northeast,62717,No,No,Personal,Other,Active Duty,No,High,Low,4,34,Yes,Regular,No,6,100-200K,1000-1500,Yes,No,Medium,Yes,Yes,High,Medium,Yes,No,No
38,75-100K,650-699,2012,104789,59,0,Nissan,Elantra,Financed,Divorced,Some College,Living with Family,Employed Full-Time,Female,Mail,Event,Tablet,No,No,Yes,Yes,Yes,Yes,West,42985,Yes,Yes,Mixed,English,Active Duty,Yes,Low,High,3,0,Yes,None,Yes,4,<100K,<500,Yes,No,High,No,No,Low,Low,Yes,No,No
64,<30K,700-749,2014,122309,57,1,Honda,Corolla,Leased,Single,Bachelor's Degree,Homeowner,Employed Part-Time,Other,Email,Referral,Desktop,No,No,No,No,Yes,Yes,Midwest,81261,Yes,Yes,Mixed,English,Veteran,No,Medium,Medium,4,36,No,Regular,No,5,100-200K,500-1000,No,No,Low,No,Yes,High,Low,No,Yes,No
51,75-100K,800+,2010,30381,62,1,Hyundai,F-150,Leased,Single,Associate Degree,Homeowner,Employed Full-Time,Other,Text,Website,Tablet,Yes,No,No,No,Yes,Yes,Northeast,37247,No,Yes,Personal,Spanish,None,Yes,Medium,Medium,3,14,Yes,Occasional,No,6,600K+,2000+,No,No,Low,Yes,Yes,Low,High,Yes,Yes,No
81,30-50K,700-749,2010,127125,54,1,Nissan,Elantra,Leased,Widowed,Some College,Living with Family,Unemployed,Female,Phone,Referral,Mobile,Yes,Yes,Yes,Yes,No,No,South,46554,Yes,Yes,Business,Other,Veteran,No,High,Medium,1,32,No,Regular,No,4,200-400K,1000-1500,Yes,No,Medium,Yes,Yes,Medium,Medium,Yes,No,Yes
33,50-75K,600-649,2019,137878,55,0,Nissan,Sorento,Owned,Married,Master's Degree,Living with Family,Self-Employed,Other,Text,Event,Mobile,Yes,No,No,Yes,Yes,No,West,87160,No,No,Personal,English,Veteran,No,High,Medium,5,22,No,Occasional,Yes,2,100-200K,1000-1500,No,Yes,Low,No,No,High,High,No,Yes,No
89,<30K,650-699,2023,76979,73,0,Honda,Corolla,Leased,Widowed,Some College,Renter,Unemployed,Female,Email,Event,Desktop,No,Yes,Yes,Yes,No,No,West,64627,No,No,Business,Other,Veteran,No,Medium,High,4,14,Yes,None,No,2,200-400K,2000+,No,Yes,Low,Yes,Yes,High,Medium,Yes,No,No
65,50-75K,600-649,2009,42211,51,1,Volkswagen,Jetta,Owned,Widowed,Some College,Renter,Self-Employed,Male,Phone,Event,Tablet,No,Yes,Yes,Yes,Yes,No,Midwest,92597,Yes,No,Business,Other,None,Yes,High,High,3,3,No,None,No,6,600K+,<500,Yes,No,Medium,Yes,No,Medium,High,No,No,Yes
56,<30K,650-699,2012,163514,53,1,Kia,3 Series,Financed,Divorced,Some College,Homeowner,Employed Full-Time,Female,Email,Website,Mobile,Yes,Yes,Yes,No,No,Yes,Northeast,61835,No,No,Personal,Other,None,No,Medium,Medium,5,39,No,Occasional,Yes,1,<100K,1500-2000,No,No,High,No,No,Medium,Low,Yes,Yes,No
86,100-150K,600-649,2007,74843,50,0,Honda,Altima,Financed,Married,Doctorate,Living with Family,Self-Employed,Female,Phone,Email Campaign,Mobile,No,No,No,No,No,No,Midwest,39049,Yes,Yes,Business,English,Veteran,Yes,High,Medium,3,12,No,Occasional,Yes,2,100-200K,1500-2000,No,Yes,Medium,No,Yes,Medium,Medium,Yes,No,No
69,<30K,650-699,2013,124515,53,0,Ford,C-Class,Leased,Divorced,Bachelor's Degree,Living with Family,Retired,Female,Phone,Website,Mobile,No,No,Yes,No,No,No,Midwest,26252,No,No,Business,English,None,No,Low,Medium,1,34,Yes,Regular,Yes,6,<100K,1500-2000,No,No,Low,Yes,Yes,Medium,Medium,Yes,No,Yes
67,50-75K,750-800,2014,33821,68,0,Nissan,Civic,Owned,Divorced,Bachelor's Degree,Renter,Self-Employed,Male,Email,Referral,Tablet,Yes,Yes,No,Yes,No,No,West,87092,No,Yes,Business,Other,None,No,Low,High,3,16,Yes,Occasional,Yes,5,200-400K,<500,No,Yes,Low,Yes,Yes,Low,Medium,No,Yes,Yes
88,<30K,600-649,2007,158978,54,1,BMW,Silverado,Owned,Married,High School,Living with Family,Employed Full-Time,Female,Text,Referral,Tablet,No,No,Yes,No,Yes,No,West,88590,Yes,No,Mixed,English,Veteran,No,Low,High,1,17,Yes,Regular,No,4,600K+,1000-1500,Yes,No,Medium,Yes,No,Medium,Medium,No,No,Yes
26,100-150K,750-800,2011,173577,79,1,Nissan,F-150,Leased,Widowed,Bachelor's Degree,Living with Family,Unemployed,Male,Phone,Website,Mobile,Yes,No,No,Yes,Yes,No,Midwest,46364,Yes,Yes,Personal,Other,None,No,Medium,High,1,28,Yes,Regular,No,4,600K+,500-1000,No,Yes,Low,Yes,No,High,Medium,No,No,No
84,50-75K,700-749,2010,11058,60,0,BMW,Jetta,Owned,Single,Some College,Homeowner,Unemployed,Female,Phone,Event,Mobile,Yes,Yes,No,No,No,No,West,37323,Yes,No,Business,Other,None,Yes,High,Medium,4,1,Yes,Regular,No,3,600K+,2000+,Yes,Yes,Medium,No,No,Low,High,Yes,Yes,Yes
59,50-75K,600-649,2014,39095,53,0,Kia,Corolla,Financed,Widowed,Associate Degree,Living with Family,Retired,Female,Text,Website,Tablet,No,Yes,No,Yes,Yes,Yes,South,61820,Yes,No,Mixed,English,Active Duty,Yes,Medium,Medium,3,13,No,None,Yes,6,600K+,1500-2000,Yes,Yes,High,No,No,High,Low,No,Yes,Yes
44,30-50K,650-699,2007,138049,16,0,Volkswagen,Jetta,Financed,Single,Master's Degree,Homeowner,Unemployed,Male,Mail,Email Campaign,Tablet,Yes,No,Yes,No,Yes,No,South,54483,No,Yes,Business,Other,Veteran,Yes,High,Low,5,7,No,Occasional,Yes,4,100-200K,<500,Yes,No,Medium,Yes,Yes,High,Low,Yes,No,Yes
63,75-100K,700-749,2013,8561,84,1,Volkswagen,Elantra,Owned,Single,High School,Homeowner,Employed Full-Time,Female,Text,Referral,Mobile,No,Yes,Yes,Yes,Yes,Yes,Midwest,37787,No,Yes,Business,English,Veteran,Yes,High,Low,4,16,Yes,Regular,Yes,6,100-200K,2000+,No,Yes,Low,No,No,High,High,Yes,No,Yes
67,100-150K,<600,2017,158341,67,1,Honda,Corolla,Financed,Married,Bachelor's Degree,Renter,Employed Part-Time,Female,Phone,Referral,Tablet,No,Yes,No,No,No,No,South,13425,Yes,No,Mixed,Other,Active Duty,Yes,Medium,Low,4,1,Yes,Occasional,No,2,<100K,1000-1500,No,No,Medium,No,Yes,Medium,Low,Yes,No,Yes
59,150K+,600-649,2014,155116,68,1,Honda,Sorento,Financed,Widowed,Doctorate,Living with Family,Self-Employed,Male,Phone,Cold Call,Desktop,No,No,No,Yes,No,Yes,Northeast,32205,Yes,Yes,Personal,Other,None,No,Medium,High,2,30,Yes,Regular,Yes,4,600K+,<500,No,No,Medium,No,Yes,High,Low,Yes,No,No
83,100-150K,650-699,2019,188875,97,0,Nissan,Altima,Leased,Divorced,Master's Degree,Living with Family,Self-Employed,Male,Phone,Cold Call,Mobile,No,Yes,No,Yes,No,No,West,65569,Yes,Yes,Personal,Spanish,Active Duty,No,High,Medium,4,38,Yes,Occasional,No,6,100-200K,1500-2000,No,Yes,Low,Yes,No,High,Medium,No,Yes,No
45,<30K,650-699,2017,197820,40,0,Volkswagen,C-Class,Leased,Married,Bachelor's Degree,Living with Family,Employed Full-Time,Other,Phone,Website,Desktop,No,Yes,Yes,No,Yes,No,West,10662,No,Yes,Mixed,Spanish,Active Duty,No,Medium,Medium,5,14,Yes,Occasional,No,2,600K+,1500-2000,No,Yes,Low,No,Yes,Low,Low,No,Yes,No
84,150K+,750-800,2017,34908,80,0,Ford,Jetta,Owned,Married,Associate Degree,Renter,Employed Part-Time,Other,Mail,Website,Mobile,No,No,Yes,Yes,No,No,Northeast,41796,Yes,No,Mixed,Spanish,Veteran,Yes,High,Low,1,0,No,Regular,Yes,3,<100K,<500,Yes,No,Low,No,Yes,High,High,Yes,Yes,Yes
76,50-75K,<600,2015,88570,81,0,Hyundai,Corolla,Leased,Widowed,Associate Degree,Homeowner,Retired,Other,Text,Website,Tablet,No,No,No,No,Yes,No,South,47261,Yes,Yes,Personal,English,Veteran,No,Low,Low,5,11,No,Regular,Yes,4,200-400K,1500-2000,No,Yes,Low,Yes,No,High,Low,No,Yes,Yes
59,50-75K,700-749,2021,173415,59,0,Honda,Altima,Owned,Single,Doctorate,Living with Family,Employed Part-Time,Female,Email,Email Campaign,Desktop,No,No,No,Yes,Yes,Yes,South,88602,Yes,No,Mixed,Other,None,No,High,Low,1,7,No,Regular,No,2,600K+,1500-2000,Yes,No,High,Yes,Yes,Medium,Medium,No,Yes,No
47,30-50K,650-699,2021,101780,56,0,Volkswagen,Jetta,Financed,Single,High School,Renter,Employed Full-Time,Other,Text,Cold Call,Desktop,No,Yes,Yes,No,No,No,West,97009,No,Yes,Mixed,English,Active Duty,Yes,High,Medium,3,15,Yes,None,No,4,600K+,1000-1500,No,No,High,Yes,No,Medium,Low,Yes,Yes,Yes
88,100-150K,750-800,2013,80925,72,0,Hyundai,C-Class,Owned,Married,Some College,Living with Family,Employed Full-Time,Other,Email,Cold Call,Tablet,No,No,Yes,No,Yes,Yes,South,80870,No,No,Mixed,English,None,Yes,High,Medium,5,24,Yes,Regular,No,3,<100K,1500-2000,No,Yes,Medium,Yes,No,High,Low,No,Yes,No
72,150K+,600-649,2012,165734,74,1,Nissan,Silverado,Owned,Divorced,Bachelor's Degree,Living with Family,Employed Part-Time,Female,Text,Cold Call,Tablet,Yes,Yes,Yes,Yes,Yes,Yes,South,62292,Yes,Yes,Mixed,Spanish,Veteran,No,Medium,High,4,17,No,Occasional,No,5,<100K,500-1000,No,Yes,Medium,Yes,No,Low,High,Yes,No,No
62,30-50K,650-699,2008,122217,31,0,Kia,C-Class,Owned,Divorced,Bachelor's Degree,Homeowner,Self-Employed,Female,Email,Event,Tablet,No,Yes,No,Yes,No,Yes,West,80017,Yes,Yes,Personal,Spanish,None,Yes,Medium,Low,2,7,Yes,Regular,No,5,<100K,1500-2000,No,No,Low,Yes,No,Low,Low,No,No,No
20,50-75K,650-699,2011,75595,20,1,Volkswagen,Corolla,Leased,Single,High School,Renter,Unemployed,Female,Text,Website,Mobile,No,No,No,No,Yes,No,West,69818,No,No,Business,Spanish,None,No,Medium,Low,1,40,No,None,Yes,4,400-600K,500-1000,No,Yes,High,Yes,Yes,Medium,High,Yes,Yes,Yes
49,30-50K,650-699,2014,190688,45,0,Nissan,Sorento,Leased,Widowed,Associate Degree,Living with Family,Retired,Other,Mail,Website,Desktop,No,Yes,Yes,Yes,Yes,No,South,50322,Yes,No,Personal,English,None,No,Medium,Low,5,16,No,None,No,2,600K+,1500-2000,No,Yes,Medium,No,Yes,Low,Low,No,No,Yes
70,100-150K,650-699,2016,185931,58,0,Ford,Elantra,Owned,Single,High School,Homeowner,Self-Employed,Male,Phone,Email Campaign,Desktop,No,Yes,Yes,Yes,Yes,Yes,South,65879,Yes,No,Mixed,Other,Active Duty,Yes,Low,High,2,0,Yes,None,Yes,3,<100K,<500,No,Yes,Medium,No,No,Low,Medium,Yes,No,No
80,50-75K,700-749,2009,1257,50,0,Mercedes,Elantra,Leased,Married,Associate Degree,Homeowner,Employed Part-Time,Other,Mail,Cold Call,Tablet,Yes,Yes,No,Yes,No,Yes,West,95912,Yes,No,Mixed,English,Active Duty,No,Medium,Low,3,10,No,Regular,Yes,3,200-400K,1000-1500,No,No,High,No,No,High,Low,No,No,No
37,30-50K,600-649,2010,65326,19,0,Honda,C-Class,Financed,Single,Master's Degree,Living with Family,Employed Full-Time,Other,Email,Event,Tablet,No,Yes,Yes,Yes,No,Yes,South,94932,No,No,Mixed,Other,Active Duty,Yes,High,Low,5,39,No,Regular,No,4,100-200K,500-1000,No,Yes,Low,No,Yes,Medium,High,Yes,Yes,No
42,50-75K,700-749,2013,134685,49,0,Hyundai,C-Class,Owned,Divorced,High School,Renter,Employed Part-Time,Female,Mail,Cold Call,Mobile,Yes,No,Yes,No,No,No,Northeast,38472,Yes,Yes,Mixed,English,Veteran,Yes,High,Low,1,35,No,None,No,1,200-400K,500-1000,Yes,Yes,High,No,Yes,Low,Medium,No,Yes,No
68,50-75K,700-749,2016,59955,77,0,BMW,Jetta,Owned,Divorced,Doctorate,Living with Family,Self-Employed,Other,Phone,Event,Desktop,No,No,Yes,No,Yes,No,West,14982,Yes,No,Mixed,Spanish,Active Duty,Yes,Medium,Low,4,29,Yes,Regular,No,3,400-600K,2000+,No,Yes,High,No,Yes,Medium,Medium,Yes,Yes,No
77,30-50K,650-699,2021,147857,70,0,Toyota,Civic,Owned,Single,Some College,Living with Family,Unemployed,Female,Text,Email Campaign,Tablet,Yes,No,Yes,No,No,Yes,Northeast,78952,No,No,Mixed,Other,Active Duty,Yes,Low,Low,3,2,No,Occasional,Yes,1,400-600K,<500,Yes,Yes,High,No,No,Low,High,Yes,Yes,Yes
68,100-150K,600-649,2015,37077,76,0,Chevrolet,Civic,Financed,Married,Associate Degree,Renter,Self-Employed,Female,Email,Referral,Mobile,No,Yes,Yes,Yes,No,Yes,South,19840,No,Yes,Personal,Spanish,Veteran,Yes,Low,Medium,3,23,No,Occasional,No,6,400-600K,2000+,Yes,No,Low,No,Yes,Medium,Low,No,No,Yes
32,75-100K,700-749,2010,163160,56,0,Kia,Elantra,Leased,Widowed,Doctorate,Living with Family,Retired,Other,Text,Referral,Desktop,No,No,No,No,No,No,West,54807,Yes,No,Mixed,Spanish,None,No,High,High,1,0,No,Occasional,No,3,200-400K,1500-2000,No,Yes,Low,Yes,Yes,High,Low,Yes,Yes,Yes
32,50-75K,600-649,2014,136922,42,0,Kia,Altima,Leased,Widowed,Bachelor's Degree,Homeowner,Retired,Other,Phone,Event,Desktop,Yes,No,No,No,No,Yes,South,58482,No,Yes,Personal,English,Active Duty,No,Medium,Medium,2,19,Yes,Regular,No,3,<100K,1500-2000,No,Yes,High,Yes,Yes,High,Low,No,No,No
54,75-100K,700-749,2014,37424,57,0,Honda,Civic,Financed,Married,Associate Degree,Homeowner,Employed Full-Time,Other,Email,Event,Tablet,No,No,Yes,Yes,Yes,No,South,26571,Yes,No,Personal,English,None,No,Medium,Low,3,3,Yes,None,Yes,3,<100K,<500,No,Yes,Low,No,No,Medium,High,No,No,Yes
73,<30K,700-749,2009,189376,50,1,Volkswagen,Jetta,Leased,Married,Master's Degree,Homeowner,Retired,Other,Email,Referral,Desktop,Yes,No,Yes,No,No,Yes,Northeast,28046,No,No,Mixed,Other,None,No,Medium,High,3,13,No,Regular,No,5,400-600K,1500-2000,Yes,Yes,Medium,No,Yes,High,High,Yes,No,No
67,50-75K,650-699,2009,184107,53,1,Hyundai,Jetta,Owned,Married,High School,Homeowner,Employed Full-Time,Male,Mail,Referral,Desktop,No,Yes,No,Yes,No,Yes,Northeast,31646,Yes,No,Personal,Other,Active Duty,No,Low,Low,1,6,Yes,Regular,No,1,<100K,2000+,Yes,No,Low,No,No,Medium,Low,Yes,No,Yes
87,100-150K,700-749,2011,184038,94,1,Hyundai,Jetta,Leased,Married,Bachelor's Degree,Renter,Employed Part-Time,Female,Phone,Event,Desktop,Yes,No,Yes,Yes,Yes,Yes,South,89934,No,No,Personal,Other,None,No,Medium,Medium,4,11,No,Occasional,No,1,600K+,<500,Yes,Yes,Medium,Yes,Yes,Medium,Medium,Yes,No,Yes
29,75-100K,<600,2022,53722,40,1,Ford,C-Class,Owned,Married,Doctorate,Renter,Self-Employed,Other,Mail,Event,Desktop,Yes,Yes,No,No,No,No,Midwest,50211,Yes,Yes,Business,Spanish,Active Duty,Yes,Medium,Medium,4,19,Yes,Regular,Yes,3,100-200K,2000+,No,Yes,Low,Yes,Yes,High,High,No,Yes,Yes
19,50-75K,600-649,2009,64951,22,0,Kia,Altima,Leased,Widowed,Bachelor's Degree,Living with Family,Retired,Other,Phone,Website,Desktop,No,No,No,Yes,Yes,No,Midwest,52947,Yes,Yes,Mixed,Spanish,None,No,Low,Low,5,29,No,Regular,No,4,200-400K,2000+,Yes,No,High,No,Yes,Medium,High,No,Yes,Yes
27,30-50K,700-749,2006,86656,32,0,Chevrolet,Civic,Owned,Widowed,Associate Degree,Living with Family,Unemployed,Female,Mail,Website,Mobile,No,No,No,Yes,Yes,No,Midwest,88548,Yes,Yes,Mixed,Other,Active Duty,Yes,High,Low,3,9,No,Regular,Yes,6,400-600K,2000+,No,No,Medium,No,Yes,Low,High,No,No,Yes
22,<30K,600-649,2017,17328,38,0,Nissan,Corolla,Financed,Divorced,High School,Homeowner,Retired,Female,Email,Event,Mobile,No,No,Yes,Yes,No,Yes,Midwest,58704,Yes,Yes,Business,English,Active Duty,No,Low,Medium,1,20,No,Occasional,No,3,400-600K,500-1000,No,Yes,Low,No,Yes,Medium,Low,No,No,Yes
76,75-100K,650-699,2018,119186,82,1,Toyota,Elantra,Owned,Married,Doctorate,Living with Family,Employed Part-Time,Male,Mail,Cold Call,Desktop,No,No,No,No,No,No,South,20953,Yes,Yes,Mixed,English,Veteran,No,Low,High,5,15,Yes,Regular,No,4,600K+,500-1000,No,Yes,High,Yes,Yes,Low,Low,Yes,No,Yes
76,50-75K,700-749,2016,127961,71,0,Kia,Altima,Owned,Single,Some College,Renter,Employed Part-Time,Other,Phone,Website,Desktop,Yes,Yes,No,Yes,Yes,No,Northeast,85243,Yes,Yes,Personal,Spanish,Veteran,No,Low,High,4,14,No,Regular,Yes,5,400-600K,1000-1500,No,Yes,Low,No,No,Low,Medium,No,Yes,Yes
86,50-75K,650-699,2013,126251,71,1,Nissan,Sorento,Financed,Single,Some College,Homeowner,Retired,Male,Text,Referral,Tablet,No,Yes,Yes,No,Yes,Yes,South,28317,Yes,Yes,Business,English,Active Duty,Yes,Medium,Medium,2,20,Yes,Occasional,Yes,4,600K+,500-1000,Yes,Yes,High,No,Yes,Low,High,Yes,No,No
33,50-75K,600-649,2021,21608,49,0,Toyota,Altima,Financed,Married,Doctorate,Living with Family,Employed Full-Time,Other,Text,Cold Call,Tablet,No,No,Yes,No,No,Yes,South,77552,No,Yes,Business,Spanish,None,Yes,High,Medium,5,7,Yes,Occasional,Yes,3,600K+,2000+,Yes,No,Medium,No,No,High,Medium,No,Yes,Yes
66,30-50K,<600,2022,90949,45,0,Chevrolet,Altima,Owned,Married,High School,Living with Family,Unemployed,Other,Email,Cold Call,Mobile,Yes,No,Yes,Yes,Yes,No,Northeast,75004,Yes,Yes,Business,Spanish,Active Duty,Yes,Low,High,3,22,Yes,Regular,Yes,3,600K+,<500,Yes,No,Low,Yes,Yes,High,High,No,No,No
61,30-50K,600-649,2010,108236,55,1,Toyota,Jetta,Owned,Widowed,Some College,Homeowner,Employed Full-Time,Male,Email,Event,Mobile,No,No,Yes,Yes,No,No,Midwest,63912,Yes,Yes,Business,Other,Active Duty,Yes,Low,Medium,2,3,Yes,None,No,2,<100K,500-1000,Yes,No,High,No,Yes,Medium,Low,Yes,No,Yes
34,150K+,<600,2009,162989,32,0,Volkswagen,Elantra,Owned,Widowed,Bachelor's Degree,Homeowner,Self-Employed,Other,Text,Event,Tablet,No,No,Yes,No,No,Yes,West,11999,No,No,Business,English,Active Duty,Yes,High,Low,4,29,Yes,Regular,No,2,400-600K,500-1000,No,No,High,Yes,Yes,High,Low,No,No,No
67,<30K,700-749,2019,147078,38,0,Kia,Elantra,Financed,Married,Some College,Renter,Employed Part-Time,Female,Email,Event,Desktop,No,No,No,No,Yes,Yes,West,56159,Yes,Yes,Mixed,Spanish,Active Duty,No,High,Low,3,6,Yes,Regular,Yes,3,200-400K,500-1000,No,Yes,High,Yes,Yes,High,Low,Yes,Yes,Yes
68,75-100K,750-800,2022,89067,83,1,Honda,3 Series,Financed,Single,High School,Renter,Employed Full-Time,Female,Mail,Event,Mobile,Yes,No,Yes,Yes,Yes,Yes,West,75734,No,Yes,Mixed,Spanish,Veteran,No,Medium,Low,2,0,Yes,Regular,No,5,<100K,500-1000,Yes,Yes,Medium,No,No,Medium,Low,Yes,No,Yes
62,75-100K,750-800,2015,149643,86,1,Toyota,Jetta,Leased,Married,Some College,Renter,Employed Part-Time,Female,Phone,Website,Mobile,Yes,Yes,No,Yes,No,Yes,Midwest,96499,No,No,Mixed,Other,Veteran,No,Medium,Medium,2,16,Yes,Regular,No,2,100-200K,1000-1500,No,Yes,Medium,Yes,No,Medium,High,Yes,Yes,Yes
54,75-100K,650-699,2021,119809,50,0,Toyota,F-150,Financed,Single,Some College,Renter,Employed Part-Time,Female,Phone,Cold Call,Mobile,No,Yes,No,No,Yes,Yes,Northeast,96932,No,Yes,Business,Spanish,None,Yes,Low,Low,5,4,No,Regular,No,3,100-200K,500-1000,No,No,High,Yes,No,Medium,Medium,Yes,Yes,No
89,50-75K,600-649,2022,61613,52,1,Nissan,Corolla,Financed,Divorced,Bachelor's Degree,Renter,Employed Full-Time,Male,Phone,Referral,Mobile,No,Yes,Yes,No,Yes,Yes,Midwest,46497,Yes,Yes,Mixed,Spanish,Veteran,No,High,High,5,4,No,Occasional,Yes,5,600K+,2000+,No,No,High,No,Yes,High,Low,No,Yes,Yes
23,50-75K,650-699,2011,130587,46,0,Chevrolet,C-Class,Owned,Widowed,Associate Degree,Homeowner,Self-Employed,Other,Text,Cold Call,Tablet,No,Yes,Yes,Yes,Yes,No,Northeast,89027,No,No,Personal,English,Active Duty,No,Low,Low,2,14,No,Regular,No,4,100-200K,2000+,Yes,No,Medium,Yes,No,High,Low,Yes,No,No
45,30-50K,800+,2020,107289,55,0,BMW,Sorento,Financed,Single,Doctorate,Homeowner,Employed Part-Time,Female,Mail,Cold Call,Mobile,Yes,No,No,Yes,No,Yes,Northeast,54415,No,Yes,Mixed,Spanish,Veteran,Yes,Medium,High,5,32,No,Regular,Yes,6,400-600K,<500,Yes,Yes,Low,Yes,Yes,High,Low,No,Yes,No
77,50-75K,700-749,2006,64753,77,0,Toyota,Elantra,Financed,Married,Bachelor's Degree,Homeowner,Employed Part-Time,Other,Phone,Email Campaign,Tablet,No,Yes,No,No,Yes,Yes,Midwest,62240,Yes,Yes,Business,English,None,Yes,High,Medium,5,8,No,Occasional,Yes,5,100-200K,2000+,Yes,Yes,Medium,No,Yes,High,Medium,No,Yes,No
87,50-75K,600-649,2013,126109,76,1,Hyundai,F-150,Financed,Single,Some College,Renter,Employed Part-Time,Male,Email,Referral,Mobile,Yes,Yes,No,No,Yes,Yes,South,78409,No,Yes,Business,English,None,No,Medium,Low,5,6,No,Occasional,No,6,600K+,2000+,Yes,No,Low,Yes,No,Medium,High,No,No,Yes
77,75-100K,600-649,2020,106768,76,1,Nissan,Jetta,Owned,Widowed,Doctorate,Homeowner,Employed Part-Time,Other,Phone,Referral,Mobile,Yes,No,No,No,No,No,Northeast,44533,Yes,Yes,Business,Other,None,No,Medium,Low,2,2,No,Regular,No,6,600K+,1000-1500,No,Yes,High,Yes,Yes,Medium,High,Yes,Yes,No
62,75-100K,650-699,2015,129114,61,1,Kia,Altima,Leased,Married,High School,Living with Family,Retired,Female,Email,Website,Tablet,No,No,Yes,Yes,No,Yes,Northeast,14165,Yes,Yes,Personal,Other,None,No,Medium,Medium,3,2,No,Regular,No,3,400-600K,500-1000,No,Yes,Low,Yes,Yes,Medium,Medium,Yes,Yes,Yes
38,30-50K,600-649,2008,56922,36,1,Kia,Altima,Leased,Single,Some College,Living with Family,Self-Employed,Other,Text,Referral,Tablet,No,Yes,Yes,No,Yes,No,West,38887,No,Yes,Personal,English,Active Duty,No,Medium,Medium,2,31,No,Occasional,No,3,100-200K,1500-2000,Yes,No,Low,No,No,Medium,Low,No,No,Yes
26,30-50K,800+,2008,69262,73,1,Nissan,Jetta,Leased,Divorced,High School,Homeowner,Unemployed,Male,Phone,Website,Desktop,Yes,No,No,No,No,No,West,12501,Yes,Yes,Mixed,Spanish,Active Duty,Yes,Medium,Low,4,40,No,None,No,2,600K+,1500-2000,No,Yes,Medium,No,Yes,Medium,Low,Yes,No,No
83,100-150K,650-699,2009,139033,65,0,Toyota,Elantra,Financed,Married,Associate Degree,Renter,Employed Full-Time,Male,Phone,Referral,Mobile,No,Yes,No,Yes,Yes,No,Midwest,91075,No,No,Personal,Other,Active Duty,Yes,Medium,Low,3,26,No,None,No,2,100-200K,<500,Yes,No,High,No,Yes,Medium,High,No,Yes,No
46,100-150K,<600,2012,33783,56,0,Honda,Elantra,Financed,Widowed,Bachelor's Degree,Renter,Unemployed,Female,Email,Cold Call,Tablet,Yes,Yes,No,Yes,Yes,Yes,West,23449,Yes,No,Business,Other,None,No,Medium,High,1,25,Yes,Regular,No,3,400-600K,2000+,No,Yes,High,No,No,Low,Low,Yes,Yes,No
30,100-150K,650-699,2007,12921,53,0,Honda,3 Series,Financed,Divorced,Bachelor's Degree,Renter,Employed Part-Time,Male,Mail,Website,Tablet,No,Yes,No,Yes,No,No,Northeast,44253,Yes,No,Business,Other,Active Duty,No,Low,Medium,2,6,Yes,Regular,Yes,2,100-200K,<500,No,Yes,Medium,No,Yes,High,Medium,Yes,No,No
71,100-150K,<600,2022,27153,86,0,Honda,Corolla,Leased,Divorced,Some College,Homeowner,Self-Employed,Other,Phone,Cold Call,Tablet,No,Yes,No,No,No,No,South,59117,No,No,Personal,English,Veteran,No,Low,High,5,5,Yes,Occasional,No,4,400-600K,500-1000,Yes,No,Medium,No,Yes,High,High,No,Yes,Yes
